"Methode";"Compose";"meso_frais";"meso_silica";"HR"
"pls";"C18.3";0,1874;0,2604;NA
"random_forest";"C18.3";0,2951;0,2433;NA
"xgboost";"C18.3";0,2058;0,161;NA
