Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;5;1;0.3;
2;500;2;4;log2;10.0
3;200;10;1;sqrt;20.0
4;200;2;2;log2;20.0
5;300;2;1;0.3;10.0
6;500;10;4;0.3;20.0
7;200;2;4;0.3;10.0
8;500;2;1;sqrt;20.0
9;200;10;1;sqrt;10.0
10;100;10;4;sqrt;10.0
11;100;5;1;sqrt;
12;200;10;2;sqrt;
13;500;5;1;log2;10.0
14;500;5;2;sqrt;10.0
15;300;10;4;0.3;
16;300;2;4;log2;20.0
17;300;5;4;log2;
18;100;5;1;0.3;10.0
19;300;5;4;log2;20.0
20;200;10;2;0.3;10.0
21;200;10;4;log2;
22;300;10;1;sqrt;10.0
23;500;2;1;log2;
24;300;2;2;log2;
25;500;2;1;log2;20.0
26;100;10;2;sqrt;20.0
27;300;10;2;log2;10.0
28;200;2;2;sqrt;10.0
29;200;5;1;sqrt;20.0
30;100;2;2;log2;10.0
