Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;10;4;sqrt;
2;200;10;1;0.3;20.0
3;500;5;2;log2;10.0
4;200;10;4;0.3;10.0
5;100;10;1;log2;20.0
6;200;5;1;log2;20.0
7;100;5;2;0.3;20.0
8;500;2;4;0.3;20.0
9;500;2;1;0.3;20.0
10;500;10;4;log2;20.0
11;200;2;2;log2;10.0
12;100;2;1;log2;10.0
13;100;5;1;0.3;
14;100;2;2;log2;20.0
15;500;2;4;log2;20.0
16;300;2;4;sqrt;10.0
17;100;10;4;log2;20.0
18;500;5;2;sqrt;
19;100;10;1;log2;10.0
20;100;5;2;log2;10.0
21;300;10;4;sqrt;10.0
22;100;10;1;sqrt;20.0
23;500;2;1;sqrt;20.0
24;100;2;4;0.3;10.0
25;300;5;1;sqrt;20.0
26;500;10;4;sqrt;10.0
27;200;10;1;log2;20.0
28;100;5;1;sqrt;20.0
29;100;10;4;0.3;10.0
30;200;2;2;log2;20.0
