Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;10;1;sqrt;20.0
2;500;5;1;0.3;20.0
3;500;10;4;log2;20.0
4;200;2;1;0.3;20.0
5;200;5;4;sqrt;
6;500;5;4;0.3;20.0
7;200;2;4;log2;10.0
8;500;5;4;0.3;10.0
9;500;5;2;sqrt;
10;500;5;2;log2;20.0
11;300;2;4;0.3;10.0
12;500;5;4;log2;20.0
13;100;10;2;sqrt;10.0
14;300;2;4;sqrt;
15;100;10;4;sqrt;20.0
16;200;10;4;log2;
17;200;10;1;0.3;10.0
18;300;5;4;log2;20.0
19;200;5;4;log2;10.0
20;100;5;1;log2;10.0
21;300;5;2;sqrt;
22;500;10;4;0.3;10.0
23;200;5;1;0.3;10.0
24;200;10;4;sqrt;
25;100;10;2;sqrt;
26;200;5;4;0.3;10.0
27;100;2;1;sqrt;20.0
28;300;5;1;log2;
29;500;5;1;0.3;10.0
30;100;2;2;sqrt;
