Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;10;2;log2;
2;500;10;1;0.3;20.0
3;200;10;2;0.3;
4;300;5;2;sqrt;
5;100;5;2;0.3;10.0
6;100;10;4;sqrt;10.0
7;200;2;1;sqrt;20.0
8;100;2;2;0.3;10.0
9;300;2;2;log2;10.0
10;500;5;2;sqrt;10.0
11;200;2;2;log2;
12;100;5;2;log2;10.0
13;500;10;2;0.3;
14;100;10;2;log2;
15;100;5;1;0.3;10.0
16;200;10;2;log2;
17;300;2;1;sqrt;10.0
18;200;2;2;sqrt;
19;200;5;4;sqrt;20.0
20;200;10;4;0.3;10.0
21;500;10;1;sqrt;20.0
22;300;5;2;0.3;10.0
23;500;2;1;log2;20.0
24;300;10;1;log2;20.0
25;100;5;4;sqrt;
26;200;2;1;log2;
27;100;10;1;log2;20.0
28;200;5;2;0.3;
29;500;2;4;log2;
30;500;5;2;log2;10.0
