Numero_Echantillon;Identifiant_Ech;Valeur_Mesuree;Valeur_Predite;Ecart_Mesure;SEP
1;M242;806.8259455088573;866.2817019120827;-59.45575640322534;59.45575640322534
4;M251;549.5496223821065;367.22912317909396;182.3204992030125;182.3204992030125
5;M224;522.8173131700181;534.0039790686857;-11.18666589866757;11.18666589866757
16;M223;2049.079522817659;1981.0634644199276;68.01605839773129;68.01605839773129
20;M201;351.4886239225425;768.6680337239744;-417.1794098014319;417.1794098014319
25;M182;2278.734583418026;1910.5477671559079;368.1868162621181;368.1868162621181
31;M144;2743.453189899008;2029.251590691229;714.201599207779;714.201599207779
34;M220;532.5882019523428;540.9432759909516;-8.355074038608791;8.355074038608791
35;M246;861.6875542438444;617.637973525265;244.04958071857936;244.04958071857936
39;M161;851.2189967842389;661.4564771812821;189.7625196029568;189.7625196029568
41;M200;1119.360634837382;857.2444180634467;262.1162167739352;262.1162167739352
43;M167;1312.0431684791652;1177.6964238603614;134.34674461880377;134.34674461880377
44;M138;256.7629054484021;594.5227272567013;-337.7598218082992;337.7598218082992
47;M150;845.666358510666;876.9700320587207;-31.30367354805469;31.30367354805469
49;M141;284.5911874401141;379.5073159679785;-94.91612852786443;94.91612852786443
50;M38;838.2748290050574;710.860277257912;127.41455174714542;127.41455174714542
60;M228;440.02871876541604;713.2947831200817;-273.2660643546656;273.2660643546656
83;M232;545.2699671230641;695.0321827167114;-149.76221559364728;149.76221559364728
90;M158;416.4904381125368;682.6906690451468;-266.20023093261;266.20023093261
98;M145;278.5705054367659;520.7423104776827;-242.1718050409168;242.1718050409168
100;M183;3220.1579244311365;2028.4377635406913;1191.7201608904452;1191.7201608904452
101;M283;673.8971749944992;683.1457933998402;-9.248618405340949;9.248618405340949
105;M18;1799.6235923589845;1933.548920132983;-133.92532777399856;133.92532777399856
