Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;2;2;log2;20.0
2;100;5;1;log2;
3;300;10;4;log2;
4;500;2;4;log2;10.0
5;200;2;2;sqrt;10.0
6;300;2;4;sqrt;20.0
7;300;10;2;log2;10.0
8;200;2;1;sqrt;
9;200;2;1;log2;
10;300;10;1;0.3;
11;200;5;2;sqrt;
12;200;2;1;sqrt;10.0
13;500;5;1;sqrt;
14;100;10;2;log2;10.0
15;500;2;1;log2;20.0
16;200;2;1;0.3;10.0
17;300;2;1;sqrt;10.0
18;500;10;4;log2;20.0
19;100;10;1;0.3;20.0
20;200;2;1;0.3;20.0
21;100;2;2;log2;10.0
22;200;2;2;0.3;20.0
23;500;10;2;log2;
24;200;10;4;0.3;10.0
25;100;2;2;0.3;20.0
26;500;10;2;sqrt;
27;100;2;1;sqrt;
28;300;5;1;0.3;10.0
29;200;5;4;log2;10.0
30;500;10;1;0.3;10.0
