Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;2;4;sqrt;
2;100;5;2;log2;10.0
3;100;10;2;sqrt;20.0
4;200;2;1;0.3;20.0
5;500;10;1;0.3;10.0
6;200;5;4;0.3;
7;100;10;2;sqrt;
8;300;10;1;log2;10.0
9;100;10;4;sqrt;20.0
10;300;2;2;log2;20.0
11;200;2;2;sqrt;10.0
12;300;2;2;sqrt;
13;300;10;2;log2;
14;200;2;1;sqrt;
15;100;10;2;0.3;10.0
16;300;2;2;0.3;
17;500;10;1;sqrt;10.0
18;100;2;4;sqrt;10.0
19;500;5;4;0.3;20.0
20;100;5;1;0.3;
21;100;10;2;sqrt;10.0
22;200;10;2;0.3;10.0
23;500;5;2;sqrt;20.0
24;200;2;4;0.3;
25;200;10;1;sqrt;
26;100;2;4;log2;20.0
27;100;5;1;sqrt;10.0
28;100;2;2;0.3;
29;200;10;4;sqrt;10.0
30;100;2;1;0.3;10.0
