Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;10;1;log2;
2;500;2;1;log2;20.0
3;500;2;2;0.3;10.0
4;300;10;2;sqrt;20.0
5;200;2;1;0.3;20.0
6;100;5;1;log2;
7;500;5;1;sqrt;10.0
8;100;5;1;0.3;20.0
9;200;5;1;log2;20.0
10;200;10;1;0.3;10.0
11;500;5;2;log2;20.0
12;200;2;4;log2;20.0
13;200;5;4;sqrt;20.0
14;300;10;1;log2;10.0
15;300;10;4;sqrt;
16;500;5;2;0.3;20.0
17;200;2;2;log2;
18;300;5;2;sqrt;20.0
19;200;5;2;0.3;20.0
20;300;5;2;sqrt;
21;500;5;1;sqrt;20.0
22;100;10;4;0.3;
23;500;10;1;0.3;20.0
24;200;2;1;sqrt;20.0
25;300;2;4;sqrt;
26;300;5;1;log2;20.0
27;100;2;1;sqrt;20.0
28;300;10;2;0.3;10.0
29;200;2;4;0.3;
30;200;2;2;sqrt;10.0
