Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;327610;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','3'), list('sder',c(2,4,25));0.6052;213.053;0.7304;203.9064;1.9588
2;593940;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 3, 5));0.7339;179.3419;0.4341;271.4968;1.352
3;243729;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 5));0.6541;197.7115;0.6045;246.3554;1.6174
4;578405;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 25));0.6517;207.9336;0.6727;197.9378;1.7778
5;49385;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(1, 3, 9));0.669;204.4336;0.6649;190.6068;1.757
6;42794;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 21));0.6926;198.3065;0.3451;258.2533;1.2568
7;595649;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 25));0.6819;187.9302;0.6216;243.85;1.6535
8;296620;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 35));0.6749;193.7259;0.6513;228.6829;1.7224
9;818363;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('detr','2'), list('sder',c(1,3,15));0.6809;202.2164;0.5411;217.7991;1.5014
10;374359;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(1, 3, 21));0.688;195.9677;0.5319;240.3713;1.4866
