Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;5;2;0.3;10.0
2;200;10;4;sqrt;20.0
3;300;2;4;sqrt;10.0
4;300;10;2;log2;20.0
5;100;5;2;log2;
6;500;10;1;log2;
7;300;5;2;log2;
8;200;10;4;0.3;10.0
9;200;5;4;sqrt;
10;200;10;2;log2;20.0
11;500;5;4;0.3;
12;300;5;2;0.3;10.0
13;200;10;1;0.3;10.0
14;500;10;2;log2;
15;300;10;2;0.3;20.0
16;500;10;1;0.3;20.0
17;500;2;1;log2;20.0
18;200;2;2;0.3;10.0
19;200;2;1;0.3;
20;100;10;4;sqrt;20.0
21;100;10;2;sqrt;
22;100;5;2;0.3;
23;300;5;2;sqrt;20.0
24;100;2;1;log2;20.0
25;500;5;1;log2;10.0
26;100;10;2;sqrt;10.0
27;300;2;4;0.3;20.0
28;200;2;4;sqrt;10.0
29;100;2;4;log2;
30;300;5;4;sqrt;
