Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;2;4;sqrt;20.0
2;500;5;2;0.3;10.0
3;300;10;2;sqrt;
4;300;5;1;log2;20.0
5;300;5;2;0.3;10.0
6;200;5;2;log2;10.0
7;200;10;2;log2;10.0
8;200;5;2;log2;20.0
9;500;2;1;log2;
10;100;10;4;log2;20.0
11;300;10;4;sqrt;20.0
12;300;2;2;0.3;
13;500;5;1;sqrt;
14;300;5;1;0.3;20.0
15;500;5;1;0.3;20.0
16;300;5;2;sqrt;10.0
17;200;10;2;0.3;10.0
18;200;10;1;log2;10.0
19;300;2;2;log2;20.0
20;300;5;4;0.3;20.0
21;500;10;1;sqrt;
22;500;10;2;0.3;10.0
23;300;2;1;sqrt;
24;100;5;4;log2;20.0
25;100;2;4;sqrt;
26;100;10;4;sqrt;20.0
27;200;2;2;log2;20.0
28;300;10;1;sqrt;
29;200;5;2;sqrt;
30;300;2;4;0.3;10.0
