"Methode";"Compose";"meso_frais";"meso_silica";"HR"
"pls";"trans.alpha.carotene";0,6506;0,6081;0,858
"random_forest";"trans.alpha.carotene";0,7478;0,6292;0,8407
"xgboost";"trans.alpha.carotene";0,646;0,5913;0,6792
