Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;2;4;0.3;20.0
2;300;2;2;0.3;
3;500;5;2;0.3;20.0
4;100;2;1;0.3;
5;300;5;2;log2;20.0
6;300;5;4;sqrt;20.0
7;200;2;1;log2;10.0
8;500;2;2;log2;
9;100;2;2;sqrt;10.0
10;100;2;2;log2;10.0
11;100;10;2;log2;10.0
12;200;5;4;log2;
13;100;2;2;log2;
14;200;2;1;log2;20.0
15;100;5;4;log2;10.0
16;500;5;1;log2;
17;300;10;2;log2;10.0
18;500;5;2;log2;20.0
19;300;10;1;0.3;20.0
20;500;2;1;sqrt;10.0
21;200;2;1;sqrt;10.0
22;500;2;2;log2;20.0
23;200;10;4;sqrt;20.0
24;100;2;1;0.3;20.0
25;200;5;1;log2;10.0
26;200;2;1;log2;
27;100;10;4;log2;10.0
28;100;5;1;log2;20.0
29;500;2;1;sqrt;20.0
30;100;5;2;sqrt;
