Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;2;2;log2;
2;300;5;2;log2;10.0
3;200;10;4;log2;
4;300;2;4;0.3;
5;200;2;2;sqrt;10.0
6;200;10;1;sqrt;
7;300;5;4;log2;10.0
8;300;10;1;log2;
9;200;2;1;log2;
10;100;2;2;0.3;20.0
11;100;10;2;sqrt;20.0
12;500;5;1;0.3;
13;500;2;2;0.3;20.0
14;500;5;2;log2;10.0
15;300;2;2;0.3;20.0
16;200;5;4;log2;10.0
17;300;5;2;0.3;20.0
18;100;2;1;log2;
19;500;10;2;sqrt;20.0
20;200;2;4;0.3;10.0
21;100;10;4;sqrt;20.0
22;100;10;1;0.3;
23;500;2;2;sqrt;10.0
24;300;2;1;0.3;10.0
25;500;10;4;0.3;20.0
26;500;2;2;log2;20.0
27;200;10;4;0.3;20.0
28;300;10;1;0.3;10.0
29;300;10;1;sqrt;20.0
30;300;5;4;0.3;
