Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;2;1;0.3;10.0
2;200;5;4;0.3;
3;200;5;1;log2;20.0
4;500;5;4;sqrt;20.0
5;500;2;4;log2;
6;500;2;2;0.3;20.0
7;500;5;1;log2;20.0
8;300;2;4;sqrt;20.0
9;100;5;1;sqrt;
10;300;10;4;0.3;
11;500;10;4;log2;20.0
12;300;10;1;sqrt;10.0
13;500;2;1;sqrt;10.0
14;300;5;2;log2;10.0
15;300;5;1;log2;10.0
16;500;5;4;log2;
17;200;10;4;sqrt;20.0
18;100;5;4;log2;20.0
19;100;5;1;log2;20.0
20;200;5;2;0.3;20.0
21;200;5;2;0.3;10.0
22;200;10;2;sqrt;10.0
23;300;2;4;0.3;10.0
24;500;10;1;log2;
25;200;10;1;sqrt;10.0
26;300;10;2;0.3;20.0
27;500;10;4;sqrt;20.0
28;200;5;4;sqrt;20.0
29;300;5;2;log2;
30;300;10;2;0.3;10.0
