Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;10;2;log2;20.0
2;100;2;2;log2;20.0
3;300;10;1;log2;
4;200;10;2;log2;
5;200;10;4;sqrt;10.0
6;500;5;4;0.3;20.0
7;100;2;4;0.3;
8;500;2;1;log2;10.0
9;200;2;4;log2;
10;200;5;4;sqrt;
11;100;10;4;log2;20.0
12;300;2;4;sqrt;
13;500;5;1;log2;
14;100;2;1;sqrt;10.0
15;300;5;4;sqrt;10.0
16;100;5;2;log2;
17;500;5;4;sqrt;20.0
18;300;2;2;0.3;20.0
19;100;10;1;0.3;20.0
20;500;10;4;0.3;10.0
21;200;10;1;0.3;20.0
22;200;5;4;sqrt;20.0
23;300;5;2;0.3;20.0
24;100;10;2;0.3;
25;300;10;1;0.3;20.0
26;300;2;4;0.3;
27;100;2;4;sqrt;10.0
28;100;5;4;log2;
29;200;2;4;0.3;
30;500;2;4;log2;20.0
