"Methode";"Compose";"meso_frais";"meso_silica";"HR"
"pls";"total.carotene";0,7754;0,7935;0,8319
"random_forest";"total.carotene";0,8173;0,8382;0,8994
"xgboost";"total.carotene";0,8122;0,8448;0,8941
