Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;71028;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,21));0.7526;1.2497;0.7691;1.3718;2.1169
2;386888;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(2,3,21));0.7296;1.3075;0.6947;1.5818;1.8407
3;945481;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,21));0.7477;1.3389;0.7496;1.0673;2.0325
4;443534;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(2,3,21));0.7015;1.3971;0.8032;1.1935;2.2926
5;81663;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(2,3,21));0.7767;1.186;0.561;1.8661;1.5351
6;507434;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(2,3,21));0.6976;1.3628;0.7644;1.4045;2.0952
7;538854;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(1,3,15));0.7249;1.3404;0.6284;1.5818;1.6685
8;839662;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(2,3,21));0.7766;1.2262;0.6234;1.5523;1.6573
9;638156;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(2,3,15));0.7352;1.3117;0.6908;1.5118;1.8291
10;657640;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(2,3,15));0.6917;1.4337;0.8208;1.0622;2.4026
