Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;2;4;log2;
2;100;10;4;0.3;
3;300;2;2;log2;10.0
4;200;2;1;sqrt;10.0
5;100;5;1;0.3;
6;100;2;2;sqrt;20.0
7;300;2;2;0.3;
8;200;10;1;log2;20.0
9;300;5;4;sqrt;20.0
10;200;5;1;log2;20.0
11;100;10;2;sqrt;
12;200;10;1;sqrt;10.0
13;300;2;4;sqrt;20.0
14;100;2;4;log2;20.0
15;200;10;4;0.3;20.0
16;500;10;2;sqrt;
17;100;10;2;0.3;10.0
18;500;10;1;sqrt;20.0
19;100;5;4;log2;20.0
20;100;2;2;0.3;
21;100;10;2;sqrt;10.0
22;300;10;1;sqrt;10.0
23;500;5;4;log2;20.0
24;500;5;4;log2;10.0
25;500;10;4;sqrt;
26;100;5;2;log2;
27;100;5;2;log2;10.0
28;200;5;1;log2;
29;200;10;2;log2;
30;200;2;2;sqrt;10.0
