Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;791577;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2,3,15));0.2268;89.5019;0.3049;77.3927;1.2199
2;610234;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','3'), list('sder',c(2,4,25));0.2563;89.0707;0.2225;71.5716;1.1535
3;545888;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2,3,15));0.2794;83.9248;0.13;98.3925;1.0904
4;444275;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2,3,15));0.1555;89.5193;0.2974;92.5705;1.2134
5;826510;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('detr','3'), list('sder',c(2,4,31));0.3133;78.9991;0.1207;111.6708;1.0847
6;516660;list('adj',''), list('ref2abs',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,31));0.2513;89.9193;0.1312;76.1827;1.0912
7;621131;list('adj',''), list('snv',''), list('sder',c(2,3,15));0.2522;88.1003;0.1715;83.2937;1.1174
8;832369;list('adj',''), list('red',c(1,1400,1)), list('snv',''), list('sder',c(2,3,15));0.3401;82.0475;-0.033;93.4693;1.0007
9;5499;list('adj',''),list('red',c(40,1300,1)),list('snv',''),list('sder',c(2,3,15));0.3246;86.2382;0.2064;67.334;1.1417
10;745299;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 15));0.2434;89.1314;0.1692;81.5116;1.1159
