Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;2;4;sqrt;
2;200;5;1;0.3;
3;200;5;4;0.3;
4;300;10;1;log2;
5;500;2;4;0.3;10.0
6;300;10;1;sqrt;10.0
7;300;2;2;0.3;20.0
8;300;2;1;sqrt;20.0
9;200;10;1;0.3;20.0
10;300;5;4;sqrt;20.0
11;100;2;4;sqrt;10.0
12;500;5;4;log2;10.0
13;200;10;2;log2;10.0
14;100;5;4;log2;20.0
15;200;10;4;log2;20.0
16;500;10;2;0.3;10.0
17;200;5;2;sqrt;20.0
18;500;10;4;log2;10.0
19;200;2;1;sqrt;10.0
20;300;5;1;sqrt;20.0
21;300;10;4;log2;10.0
22;100;2;2;log2;
23;200;5;1;log2;10.0
24;300;5;4;0.3;
25;500;5;1;sqrt;
26;100;2;1;log2;
27;100;2;4;0.3;20.0
28;200;10;4;log2;10.0
29;500;2;2;log2;
30;200;10;2;log2;20.0
