Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;53576;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(2,3,21));0.2762;93.8498;0.0825;100.4118;1.0618
2;102775;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(2,3,21));0.1839;94.221;0.2757;111.4397;1.1951
3;199679;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(2,3,15));0.2117;95.2933;0.3368;97.3622;1.2489
4;431678;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(2,3,21));0.256;97.863;0.1093;86.4287;1.0777
5;41594;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(2,3,21));0.2502;98.055;0.1823;85.4806;1.1248
6;427926;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 11));0.2618;92.8623;0.0312;115.9147;1.0334
7;883525;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(2,3,15));0.2538;99.9041;0.2028;72.0376;1.1392
8;456893;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(1,3,11));0.1825;101.1273;0.1416;92.3638;1.0978
9;884203;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(2,3,15));0.2816;97.3739;0.0328;82.3339;1.0342
10;275307;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(2,3,15));0.25;94.7797;0.3315;91.9645;1.244
