Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;10;4;0.3;
2;100;2;2;log2;10.0
3;500;2;2;0.3;20.0
4;100;2;4;0.3;
5;500;10;1;sqrt;20.0
6;300;5;1;sqrt;
7;100;10;2;log2;20.0
8;200;2;1;0.3;
9;200;5;2;log2;10.0
10;100;5;4;log2;
11;200;5;4;log2;10.0
12;100;2;2;sqrt;20.0
13;200;2;1;0.3;10.0
14;300;10;1;0.3;10.0
15;200;10;2;log2;10.0
16;100;2;2;sqrt;10.0
17;300;10;1;log2;
18;500;5;4;sqrt;10.0
19;500;2;4;0.3;10.0
20;100;2;4;sqrt;10.0
21;200;5;4;log2;20.0
22;200;2;2;0.3;20.0
23;300;10;2;sqrt;
24;500;2;2;sqrt;20.0
25;300;10;2;sqrt;20.0
26;500;5;2;log2;10.0
27;300;5;2;log2;
28;100;10;1;log2;
29;500;10;1;0.3;10.0
30;300;10;2;sqrt;10.0
