Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;884409;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('detr','3'), list('sder',c(2,4,31));0.7515;349.3336;0.2125;336.6673;1.1462
2;364651;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 3, 31));0.712;367.0698;0.7024;308.1729;1.8644
3;586252;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 15));0.7628;306.1589;0.6258;467.3591;1.6626
4;384005;list('adj',''), list('snv',''), list('sder',c(2,3,15));0.7421;333.8044;0.5351;461.5789;1.4918
5;760655;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 31));0.7261;359.8404;0.7658;257.8945;2.1016
6;63682;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2,3,15));0.7397;334.688;0.6601;395.9869;1.7445
7;339808;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(0, 2, 9));0.7267;354.1206;0.5806;387.4337;1.5706
8;410225;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2,3,15));0.7205;357.2427;0.7509;301.7142;2.0378
9;129377;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2,3,15));0.7365;338.2875;0.6376;397.2985;1.6895
10;114582;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2,3,15));0.7626;308.8072;0.6835;416.6247;1.808
