Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;10;2;log2;10.0
2;300;10;1;log2;20.0
3;200;5;4;0.3;10.0
4;200;2;4;sqrt;20.0
5;100;2;4;sqrt;20.0
6;300;2;4;log2;20.0
7;200;10;2;log2;
8;500;10;4;sqrt;20.0
9;200;10;2;sqrt;
10;200;5;4;log2;
11;500;5;2;0.3;20.0
12;200;10;1;log2;20.0
13;300;10;1;sqrt;
14;200;10;2;log2;20.0
15;100;5;1;sqrt;20.0
16;100;5;4;sqrt;10.0
17;100;10;4;sqrt;20.0
18;500;2;4;log2;
19;100;10;2;0.3;20.0
20;300;2;2;sqrt;20.0
21;200;2;4;0.3;10.0
22;200;5;2;sqrt;20.0
23;500;5;1;0.3;20.0
24;200;10;1;0.3;10.0
25;500;2;4;0.3;10.0
26;500;5;4;0.3;
27;500;2;1;0.3;20.0
28;300;2;2;sqrt;10.0
29;300;10;2;log2;20.0
30;200;2;1;0.3;
