Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;341944;list('adj',''), list('red',c(950,750,1)), list('msc',''), list('sder',c(1,3,15));0.1885;0.0947;0.0499;0.1093;1.0434
2;594359;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 3, 5));0.1891;0.0975;-0.0869;0.0975;0.9756
3;640881;list('adj',''), list('red',c(950,750,1)), list('msc',''), list('sder',c(1,3,21));0.1946;0.0965;-0.1122;0.1046;0.9644
4;732658;list('adj',''), list('red',c(950,750,1)), list('msc',''), list('sder',c(1,3,15));0.2178;0.0998;-0.585;0.0915;0.8079
5;421409;list('adj',''), list('red',c(1000,700,1)), list('snv',''), list('sder',c(2,3,15));0.1328;0.0969;-0.0691;0.1117;0.9837
6;747562;list('adj',''), list('red',c(1000,750,1)), list('snv',''), list('sder',c(2,3,15));0.209;0.0902;-0.1234;0.1329;0.9596
7;56069;list('adj',''), list('red',c(950,750,1)), list('msc',''), list('sder',c(1,3,21));0.1802;0.0923;0.0063;0.1218;1.0203
8;401925;list('adj',''), list('red',c(950,750,1)), list('msc',''), list('sder',c(1,3,15));0.1887;0.0911;-0.0743;0.1248;0.9813
9;125981;list('adj',''), list('red',c(950,750,1)), list('msc',''), list('sder',c(1,3,21));0.1323;0.101;0.1467;0.0858;1.1011
10;985159;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 3, 5));0.1585;0.1005;0.0524;0.0886;1.0448
