Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;5;1;sqrt;
2;100;2;2;0.3;
3;200;5;1;sqrt;
4;100;5;2;0.3;10.0
5;300;5;1;sqrt;10.0
6;200;5;2;0.3;10.0
7;500;10;1;log2;20.0
8;100;2;4;log2;10.0
9;200;2;4;0.3;
10;100;2;2;sqrt;
11;500;5;4;log2;
12;500;10;1;0.3;
13;300;10;1;sqrt;
14;300;10;4;log2;20.0
15;100;5;2;0.3;
16;100;5;1;sqrt;20.0
17;200;10;4;0.3;
18;500;10;2;sqrt;10.0
19;100;5;1;0.3;10.0
20;200;5;1;sqrt;10.0
21;100;10;4;log2;20.0
22;100;10;2;0.3;20.0
23;100;5;2;log2;20.0
24;100;10;2;0.3;
25;200;2;2;0.3;10.0
26;500;5;2;log2;20.0
27;100;10;2;0.3;10.0
28;500;2;2;sqrt;20.0
29;200;10;2;0.3;10.0
30;300;5;1;0.3;10.0
