Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;5;1;log2;
2;500;2;4;0.3;
3;100;5;1;0.3;
4;300;5;4;sqrt;
5;100;5;2;0.3;20.0
6;200;10;1;sqrt;20.0
7;500;10;1;log2;
8;200;2;1;log2;20.0
9;100;10;4;0.3;20.0
10;100;2;1;sqrt;
11;300;5;2;0.3;10.0
12;100;5;1;sqrt;10.0
13;300;5;1;sqrt;
14;300;10;2;log2;20.0
15;200;2;1;log2;
16;100;2;1;0.3;10.0
17;500;10;2;log2;10.0
18;500;2;1;sqrt;20.0
19;300;2;4;sqrt;10.0
20;500;5;1;log2;10.0
21;100;5;4;0.3;20.0
22;300;5;4;0.3;20.0
23;200;5;2;sqrt;20.0
24;200;10;4;log2;
25;100;5;4;sqrt;10.0
26;500;10;4;0.3;20.0
27;300;5;2;log2;20.0
28;200;2;4;sqrt;10.0
29;500;10;2;sqrt;20.0
30;500;2;2;0.3;10.0
