Iteration;Pretraitement_Gagnant;R2p_Externe;RMSEP_Externe;RPD_Externe;RMSECV
1;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 35));0.5472;399.5536;1.5115;346.5278
2;list('adj',''), list('red',c(1,1300,1)), list('sder',c(1,2,11)), list('snv','');0.4152;503.5566;1.33;312.4709
3;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(1, 3, 21));0.7884;388.0672;2.2109;364.0915
4;list('adj',''), list('snv',''), list('sder',c(1,3,5));0.8005;389.4201;2.277;344.858
5;list('adj',''), list('red',c(1,1300,1)), list('sder',c(1,2,15)), list('snv','');0.8243;348.6856;2.4266;357.5185
