Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;5;1;sqrt;10.0
2;300;10;2;0.3;20.0
3;200;10;1;sqrt;
4;200;10;1;sqrt;10.0
5;300;10;1;sqrt;
6;500;10;1;log2;
7;100;2;1;0.3;
8;200;10;2;log2;10.0
9;200;5;2;log2;10.0
10;100;5;1;0.3;20.0
11;100;10;4;sqrt;
12;300;5;1;sqrt;
13;100;10;4;sqrt;10.0
14;300;2;4;log2;10.0
15;100;10;1;sqrt;10.0
16;500;2;2;0.3;10.0
17;500;5;4;log2;10.0
18;100;2;4;sqrt;20.0
19;500;2;4;log2;10.0
20;200;2;2;0.3;20.0
21;500;5;4;sqrt;20.0
22;200;10;4;sqrt;
23;300;2;2;log2;
24;100;5;2;sqrt;20.0
25;100;10;4;sqrt;20.0
26;500;10;1;log2;10.0
27;500;10;4;0.3;10.0
28;100;2;4;log2;10.0
29;100;5;2;0.3;10.0
30;200;10;4;0.3;
