Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;73235;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,11));0.4165;0.271;0.2899;0.2973;1.207
2;930533;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,11));0.413;0.2776;0.3867;0.2562;1.2987
3;739453;list('adj',''),list('red',c(950,20,1)),list('snv',''),list('sder',c(1,3,15));0.4257;0.2739;0.2509;0.2871;1.1752
4;113835;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,15));0.4188;0.2638;0.3742;0.3102;1.2857
5;829734;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,15));0.4117;0.261;0.3721;0.3249;1.2836
6;661962;list('adj',''), list('red',c(1100,600,1)), list('snv',''), list('sder',c(2,3,15));0.421;0.2737;0.3728;0.2684;1.2843
7;56574;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,15));0.3967;0.2747;0.4515;0.2713;1.3733
8;493052;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,15));0.4391;0.2434;0.2633;0.3853;1.185
9;753711;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,15));0.4007;0.2788;0.4373;0.2525;1.3559
10;945311;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,11));0.3982;0.2557;0.351;0.3647;1.2625
