Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;10;1;sqrt;20.0
2;300;5;1;0.3;
3;200;2;2;0.3;10.0
4;500;5;4;0.3;10.0
5;100;5;1;log2;
6;500;5;1;sqrt;
7;300;10;1;0.3;10.0
8;500;10;2;sqrt;
9;100;5;1;0.3;20.0
10;200;5;4;0.3;20.0
11;300;2;2;sqrt;10.0
12;200;2;4;log2;
13;200;10;1;0.3;
14;500;10;4;sqrt;10.0
15;500;2;1;sqrt;
16;100;10;2;0.3;20.0
17;100;2;2;log2;10.0
18;100;5;4;log2;
19;200;5;2;sqrt;
20;200;5;2;log2;20.0
21;300;5;2;log2;20.0
22;300;5;2;sqrt;10.0
23;300;10;4;log2;
24;100;10;1;0.3;10.0
25;100;2;1;sqrt;
26;500;10;2;sqrt;20.0
27;100;10;2;sqrt;20.0
28;500;5;4;0.3;
29;200;5;4;log2;20.0
30;500;2;2;0.3;10.0
