Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;5;4;0.3;20.0
2;500;2;1;sqrt;
3;100;5;4;0.3;10.0
4;300;5;1;log2;
5;100;10;2;sqrt;10.0
6;200;5;1;log2;20.0
7;300;2;1;0.3;10.0
8;500;10;1;log2;
9;100;10;2;0.3;20.0
10;200;10;1;sqrt;10.0
11;200;5;2;sqrt;
12;500;2;1;0.3;
13;200;2;1;sqrt;20.0
14;100;5;1;0.3;20.0
15;300;2;2;log2;
16;100;2;4;log2;20.0
17;200;2;1;0.3;10.0
18;100;10;1;0.3;10.0
19;200;5;4;sqrt;
20;100;5;4;log2;10.0
21;200;5;2;log2;
22;300;5;2;log2;10.0
23;100;5;1;log2;
24;500;5;1;sqrt;20.0
25;100;10;4;log2;
26;500;5;1;log2;20.0
27;100;5;4;sqrt;
28;100;5;1;log2;10.0
29;200;10;2;0.3;20.0
30;300;2;2;0.3;10.0
