Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;5;4;sqrt;10.0
2;500;5;2;sqrt;
3;200;5;2;sqrt;20.0
4;500;5;2;log2;20.0
5;100;10;2;0.3;10.0
6;500;10;2;log2;20.0
7;100;10;1;sqrt;10.0
8;300;10;1;log2;
9;200;10;1;0.3;10.0
10;500;10;2;0.3;20.0
11;300;5;1;log2;
12;500;2;1;sqrt;
13;100;5;2;log2;
14;300;10;1;0.3;20.0
15;500;2;1;log2;10.0
16;300;10;1;sqrt;10.0
17;200;5;2;sqrt;
18;300;5;2;log2;20.0
19;200;10;2;sqrt;20.0
20;300;5;4;sqrt;
21;300;2;1;log2;10.0
22;500;10;2;sqrt;20.0
23;500;5;4;0.3;10.0
24;500;10;4;sqrt;
25;500;2;2;sqrt;20.0
26;500;5;4;0.3;
27;500;10;1;log2;10.0
28;300;10;2;log2;20.0
29;200;2;1;sqrt;
30;100;10;4;0.3;
