"Methode";"Compose";"meso_frais";"meso_silica";"HR"
"pls";"total.trans.carotenes.natif";NA;NA;0,812
"random_forest";"total.trans.carotenes.natif";NA;NA;0,8773
"xgboost";"total.trans.carotenes.natif";NA;NA;0,835
