Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;824169;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 35));0.9168;2.818;0.907;2.6616;3.3357
2;248434;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 31));0.9143;2.8425;0.8971;2.9929;3.1707
3;7454;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(1,3,15));0.9128;2.8583;0.9016;3.0074;3.242
4;91970;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(1, 3, 15));0.9138;2.8874;0.8843;2.6282;2.9906
5;410191;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(1,3,15));0.9124;2.8604;0.9237;2.6989;3.6831
6;922294;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(1,3,15));0.914;2.8671;0.8724;3.0125;2.8471
7;303709;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 35));0.9122;2.8908;0.8967;2.6797;3.1649
8;587405;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(1, 3, 21));0.9151;2.8495;0.8904;2.852;3.0719
9;771240;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 35));0.9111;2.9561;0.8911;2.2622;3.0818
10;351084;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 21));0.9111;2.7981;0.8972;3.7388;3.1721
