Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;2;4;log2;10.0
2;500;10;2;sqrt;10.0
3;200;2;2;0.3;
4;300;2;4;sqrt;10.0
5;300;10;2;sqrt;10.0
6;500;5;1;sqrt;10.0
7;100;10;4;sqrt;
8;100;5;4;0.3;20.0
9;200;10;4;0.3;
10;500;2;1;0.3;20.0
11;500;2;1;log2;20.0
12;500;10;2;log2;
13;500;10;2;0.3;
14;200;2;4;0.3;
15;200;10;4;log2;
16;200;5;1;log2;10.0
17;300;10;1;sqrt;
18;500;5;2;0.3;20.0
19;200;5;4;log2;10.0
20;200;10;2;0.3;10.0
21;500;10;4;log2;20.0
22;500;10;4;sqrt;20.0
23;300;10;2;log2;
24;500;10;1;log2;
25;300;2;2;sqrt;
26;100;10;1;log2;
27;100;2;4;log2;10.0
28;300;5;2;0.3;10.0
29;500;10;4;sqrt;
30;500;2;2;0.3;10.0
