Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;288904;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 9));0.6491;247.0392;0.6902;262.7744;1.8273
2;254306;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(1, 3, 9));0.6457;243.3927;0.7419;254.2553;2.0022
3;159524;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 9));0.725;212.3168;0.572;330.1133;1.5546
4;440593;list('adj',''), list('red',c(1,1200,1)), list('snv',''), list('sder',c(2,3,15));0.5989;263.2385;0.8076;211.1815;2.3187
5;753607;list('snv',''),list('sder',c(1,3,9)),list('red',c(10,10,1));0.6813;240.6334;0.638;270.6936;1.6906
6;582877;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(2, 3, 21));0.6666;242.0664;0.6759;269.6965;1.7866
7;913297;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('detr','2'), list('sder',c(1, 3, 21));0.6959;239.9043;0.5368;283.6224;1.4944
8;887457;list('adj',''), list('red',c(1,1400,1)), list('snv',''), list('sder',c(2,3,15));0.6638;249.4343;0.7163;231.4334;1.9094
9;892773;list('adj',''), list('red',c(1,1200,1)), list('snv',''), list('sder',c(2,3,15));0.6925;244.3372;0.6119;244.5432;1.6327
10;880507;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('detr','2'), list('sder',c(1,3,15));0.687;252.2022;0.7091;187.9981;1.8857
