Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;10;2;sqrt;10.0
2;200;2;1;0.3;10.0
3;300;10;1;sqrt;
4;100;2;1;sqrt;20.0
5;500;2;4;0.3;
6;500;5;2;0.3;
7;300;2;2;sqrt;10.0
8;200;2;1;log2;10.0
9;100;2;1;sqrt;10.0
10;500;2;1;0.3;
11;200;10;2;sqrt;10.0
12;300;2;1;log2;
13;100;5;1;log2;
14;200;2;2;log2;
15;500;10;2;0.3;10.0
16;500;10;1;0.3;10.0
17;100;2;2;log2;10.0
18;200;10;2;0.3;20.0
19;100;2;4;sqrt;10.0
20;300;2;1;0.3;20.0
21;300;10;1;0.3;10.0
22;200;5;4;0.3;20.0
23;200;2;4;0.3;20.0
24;300;2;4;0.3;
25;500;10;4;0.3;
26;500;10;4;log2;10.0
27;200;10;1;sqrt;20.0
28;300;2;2;log2;
29;500;5;1;log2;
30;100;5;4;log2;
