Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;649992;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 25));0.7026;183.8788;0.7235;207.7138;1.9343
2;613811;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 5));0.7633;178.1201;0.4075;219.2769;1.3214
3;502349;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 25));0.6641;199.0749;0.6753;214.1093;1.785
4;147622;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2,3,15));0.7302;167.7196;0.6118;272.6984;1.6324
5;771884;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2,3,15));0.6769;210.0147;0.4654;196.4596;1.391
6;742500;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2,3,15));0.6908;196.3974;0.7117;183.833;1.8942
7;987440;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 31));0.7339;189.9907;0.4315;202.4218;1.349
8;507212;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 31));0.7493;177.1812;0.5563;226.4248;1.5269
9;178931;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2,3,15));0.6941;175.9431;0.6482;259.6093;1.7148
10;445089;list('adj',''), list('red',c(1,1300,1)), list('sder',c(1,2,11)), list('snv','');0.7605;176.2229;0.5015;221.6955;1.4405
