Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;398179;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 2, 31));0.358;0.0926;0.5316;0.0728;1.4861
2;392387;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 31));0.3905;0.0893;0.4887;0.0811;1.4225
3;361052;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 31));0.4103;0.0857;0.3306;0.0951;1.2432
4;113067;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 31));0.4032;0.0917;0.1366;0.0891;1.0946
5;707937;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 3, 31));0.3461;0.0887;0.5325;0.089;1.4876
6;532761;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 31));0.4304;0.0893;0.3617;0.0777;1.2731
7;317274;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 3, 31));0.3926;0.0897;0.4297;0.0826;1.3469
8;744421;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 3, 31));0.3633;0.0888;0.6065;0.0782;1.6214
9;235941;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 31));0.4565;0.0853;0.428;0.082;1.3448
10;34316;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 31));0.4375;0.0866;0.2161;0.0964;1.1488
