Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;566466;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,21));0.1361;0.0997;0.0312;0.0986;1.0333
2;108794;list('adj',''), list('red',c(1,1300,1)), list('sder',c(2,3,21)), list('snv','');0.1182;0.0951;-0.0254;0.125;1.0044
3;577721;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 21));0.1657;0.0921;-0.0269;0.1282;1.0037
4;539876;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 11));0.1281;0.1028;-0.1963;0.0971;0.9299
5;777826;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,21));0.1068;0.1028;0.1663;0.0875;1.1139
6;108399;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,21));0.1205;0.1022;-0.0423;0.0969;0.9962
7;333463;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,15));0.1764;0.0997;-0.2768;0.1015;0.9001
8;741263;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 15));0.1143;0.0976;0.0908;0.1121;1.0667
9;456697;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,31));0.1958;0.0971;-0.2001;0.1075;0.9284
10;249664;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(1,3,21));0.148;0.1003;0.0558;0.0907;1.0467
