Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;5;1;sqrt;20.0
2;500;5;2;0.3;20.0
3;500;5;4;log2;10.0
4;100;5;4;sqrt;20.0
5;200;2;1;sqrt;10.0
6;200;5;1;sqrt;10.0
7;100;5;1;sqrt;10.0
8;200;5;1;log2;10.0
9;200;5;2;sqrt;
10;100;10;2;sqrt;10.0
11;500;2;1;0.3;20.0
12;300;2;2;0.3;20.0
13;500;10;2;sqrt;10.0
14;200;10;4;0.3;
15;500;2;1;sqrt;10.0
16;100;5;2;log2;20.0
17;200;5;4;0.3;20.0
18;300;10;4;0.3;10.0
19;500;5;4;sqrt;
20;200;5;4;log2;10.0
21;200;5;2;0.3;20.0
22;200;5;2;sqrt;10.0
23;500;10;1;log2;20.0
24;100;2;1;sqrt;10.0
25;500;5;2;log2;20.0
26;200;10;4;log2;
27;100;2;4;0.3;
28;100;10;4;0.3;20.0
29;300;5;1;0.3;10.0
30;500;10;1;sqrt;20.0
