Iteration;Pretraitement_Gagnant;R2p_Externe;RMSEP_Externe;RPD_Externe;RMSECV
1;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 31));0.0516;0.0932;1.0444;0.0951
2;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 31));0.2604;0.0963;1.1826;0.0914
3;list('adj',''), list('red',c(1,1300,1)), list('sder',c(2,3,15)), list('snv','');-0.0871;0.1007;0.9755;0.0931
4;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 25));0.4759;0.0879;1.405;0.0935
5;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(2, 3, 31));-0.1595;0.1134;0.9446;0.0882
