Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;500;2;4;log2;10.0
2;100;10;1;sqrt;10.0
3;100;10;2;log2;10.0
4;300;2;2;sqrt;
5;500;2;1;0.3;10.0
6;500;2;1;sqrt;
7;200;2;4;0.3;20.0
8;500;5;2;sqrt;20.0
9;100;2;4;sqrt;
10;200;2;1;log2;10.0
11;300;10;4;0.3;20.0
12;300;10;4;log2;10.0
13;500;2;4;log2;20.0
14;500;2;4;sqrt;20.0
15;200;10;1;sqrt;10.0
16;300;5;4;sqrt;20.0
17;100;10;4;0.3;10.0
18;200;5;1;log2;10.0
19;300;10;2;log2;20.0
20;200;5;1;log2;
21;200;5;4;0.3;
22;500;10;2;log2;20.0
23;300;10;1;log2;
24;100;5;1;0.3;10.0
25;300;2;4;log2;10.0
26;100;2;1;log2;20.0
27;100;5;4;0.3;10.0
28;500;2;4;0.3;
29;500;2;4;0.3;10.0
30;100;10;4;sqrt;10.0
