Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;5;4;log2;
2;300;5;2;0.3;10.0
3;100;5;1;sqrt;20.0
4;100;5;4;sqrt;10.0
5;200;10;1;log2;
6;200;2;4;sqrt;
7;300;5;2;0.3;
8;100;10;4;log2;20.0
9;500;10;1;0.3;
10;500;10;1;sqrt;10.0
11;200;2;1;log2;
12;500;5;2;log2;10.0
13;500;10;1;log2;
14;200;2;1;sqrt;20.0
15;300;5;1;log2;
16;500;2;2;log2;20.0
17;500;5;2;log2;
18;100;2;2;sqrt;20.0
19;300;2;2;0.3;
20;500;10;2;sqrt;10.0
21;500;2;2;0.3;20.0
22;200;5;2;sqrt;
23;200;5;1;sqrt;
24;300;5;1;0.3;10.0
25;200;2;2;sqrt;
26;100;2;2;0.3;10.0
27;300;10;2;0.3;20.0
28;500;5;4;0.3;20.0
29;100;2;2;log2;20.0
30;500;5;2;0.3;10.0
