Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;2;1;0.3;20.0
2;100;10;1;0.3;10.0
3;100;10;1;log2;
4;500;10;4;sqrt;
5;200;2;2;log2;
6;200;5;2;0.3;
7;500;10;4;0.3;
8;100;10;4;sqrt;20.0
9;300;2;2;0.3;10.0
10;300;10;4;sqrt;20.0
11;500;5;4;0.3;10.0
12;500;10;2;sqrt;20.0
13;500;2;2;log2;10.0
14;500;5;2;0.3;10.0
15;100;5;4;sqrt;20.0
16;200;5;4;sqrt;20.0
17;200;5;1;0.3;
18;500;2;4;sqrt;
19;300;2;2;log2;20.0
20;500;5;2;log2;
21;100;10;4;log2;10.0
22;100;2;2;log2;
23;300;5;1;sqrt;
24;100;10;4;log2;20.0
25;300;10;2;log2;
26;500;2;1;0.3;
27;500;2;2;log2;20.0
28;300;5;4;0.3;
29;300;2;2;sqrt;20.0
30;500;5;1;0.3;10.0
