Iteration;Pretraitement_Gagnant;R2p_Externe;RMSEP_Externe;RPD_Externe;RMSECV
1;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 15));0.267;0.0933;1.188;0.1006
2;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 15));-0.062;0.1044;0.987;0.094
3;list('adj',''), list('snv',''), list('sder',c(2,3,15));0.3468;0.1058;1.2585;0.0964
4;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 21));0.0848;0.12;1.0632;0.0936
5;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 3, 21));0.2892;0.091;1.2064;0.1011
