Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;987569;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 3, 5));0.7309;369.4852;0.7194;444.547;1.9201
2;28602;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 2, 31));0.6594;433.5226;0.7528;363.9658;2.0456
3;195403;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(1, 2, 11));0.7189;364.2215;0.7082;494.2523;1.883
4;945850;list('adj',''), list('red',c(1,1300,1)), list('sder',c(1,2,15)), list('snv','');0.7462;389.3379;0.5136;418.3887;1.4584
5;51720;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 21));0.7579;354.4808;0.6504;477.6765;1.7203
6;724897;list('snv',''),list('sder',c(1,3,9)),list('red',c(10,10,1));0.7282;403.9105;0.7968;267.5955;2.2561
7;511451;list('adj',''), list('snv',''), list('sder',c(1,3,5));0.7181;414.7967;0.7028;285.6352;1.8657
8;402066;list('adj',''), list('snv',''), list('sder',c(1,3,5));0.7167;406.9194;0.8454;248.4459;2.5864
9;166099;list('adj',''), list('red',c(1,1300,1)), list('sder',c(2,3,21)), list('snv','');0.7164;405.5469;0.5889;418.2008;1.5864
10;591601;list('adj',''), list('red',c(1,1300,1)), list('sder',c(1,3,21)), list('snv','');0.7216;390.3866;0.7494;346.4574;2.0316
