Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;300;2;4;sqrt;10.0
2;100;2;1;sqrt;20.0
3;500;5;1;sqrt;20.0
4;300;5;1;0.3;20.0
5;300;10;2;0.3;20.0
6;200;10;2;0.3;10.0
7;500;10;4;sqrt;
8;300;2;1;0.3;20.0
9;300;2;4;log2;10.0
10;200;10;1;0.3;
11;200;5;2;log2;
12;300;10;4;sqrt;
13;200;5;4;log2;10.0
14;500;2;1;log2;20.0
15;100;10;1;0.3;10.0
16;500;2;2;0.3;20.0
17;200;2;4;log2;20.0
18;300;2;4;sqrt;20.0
19;200;2;2;0.3;
20;500;10;4;0.3;
21;200;5;2;sqrt;20.0
22;500;10;2;0.3;20.0
23;500;10;2;log2;20.0
24;500;5;4;0.3;20.0
25;100;5;1;log2;10.0
26;200;10;2;0.3;
27;200;2;4;sqrt;10.0
28;100;5;2;sqrt;10.0
29;500;2;2;0.3;
30;200;2;4;0.3;
