Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;2;4;0.3;10.0
2;200;2;2;sqrt;20.0
3;500;10;2;log2;20.0
4;500;2;1;log2;20.0
5;200;2;1;sqrt;10.0
6;500;2;4;log2;
7;100;2;4;log2;
8;500;5;4;sqrt;
9;500;5;1;sqrt;20.0
10;300;2;1;log2;
11;300;2;1;0.3;20.0
12;500;5;1;log2;10.0
13;100;10;4;sqrt;20.0
14;500;5;4;0.3;20.0
15;500;5;1;0.3;
16;200;10;2;0.3;20.0
17;300;10;1;log2;10.0
18;200;5;1;log2;20.0
19;300;2;4;0.3;
20;300;2;1;sqrt;
21;500;2;4;0.3;
22;500;5;2;0.3;
23;200;10;2;0.3;10.0
24;200;10;1;sqrt;10.0
25;200;10;4;log2;20.0
26;500;5;4;0.3;
27;200;10;2;sqrt;20.0
28;100;5;4;log2;10.0
29;200;10;4;sqrt;
30;300;5;4;log2;
