"Methode";"Compose";"meso_frais";"meso_silica";"HR"
"pls";"ratio.alpha.beta";0,3791;0,3081;0,1273
"random_forest";"ratio.alpha.beta";0,4158;0,4054;0,1333
"xgboost";"ratio.alpha.beta";0,4376;0,3716;0,1122
