Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;200;10;4;sqrt;20.0
2;300;5;1;0.3;20.0
3;100;10;1;0.3;
4;100;5;2;log2;
5;100;2;1;0.3;20.0
6;500;5;4;0.3;20.0
7;500;2;2;sqrt;
8;300;2;4;sqrt;20.0
9;200;2;1;sqrt;20.0
10;100;2;4;sqrt;10.0
11;500;10;2;log2;20.0
12;300;2;1;0.3;20.0
13;200;2;4;sqrt;20.0
14;500;10;4;log2;10.0
15;100;10;2;0.3;10.0
16;500;5;1;log2;10.0
17;100;5;1;0.3;
18;200;2;4;0.3;10.0
19;100;10;2;log2;10.0
20;100;5;1;0.3;20.0
21;500;5;2;sqrt;20.0
22;200;10;1;0.3;20.0
23;500;2;2;log2;10.0
24;500;5;2;log2;20.0
25;500;5;4;sqrt;10.0
26;500;2;1;sqrt;
27;500;10;1;log2;
28;200;5;2;0.3;
29;200;2;2;0.3;10.0
30;100;2;2;log2;20.0
