"Methode";"Compose";"meso_frais";"meso_silica";"HR"
"pls";"X9.cis.beta.carotene";0,6381;0,7911;0,6025
"random_forest";"X9.cis.beta.carotene";0,749;0,7573;0,7676
"xgboost";"X9.cis.beta.carotene";0,7804;0,6643;0,7026
