Iteration;Seed;Pretraitement_Gagnant;R2cv;RMSECV;R2p_Externe;RMSEP_Externe;RPD_Externe
1;562870;list('adj',''), list('red',c(800,1100,1)), list('snv',''), list('sder',c(2,3,15));0.1862;276.2793;0.154;246.1593;1.1058
2;241950;list('adj',''), list('snv',''), list('sder',c(2,3,15));0.254;243.8036;0.1174;340.812;1.0826
3;282074;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2, 2, 11));0.1849;266.3958;0.2053;284.4355;1.1409
4;613391;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('detr','3'), list('sder',c(2,4,31));0.2373;273.3921;0.0506;233.8483;1.0439
5;886860;list('adj',''), list('ref2abs',''), list('red',c(1,1300,1)), list('msc',''), list('sder',c(2,3,15));0.2133;267.7435;0.2415;258.5304;1.1678
6;853762;list('adj',''), list('red',c(950,750,1)), list('snv',''), list('sder',c(2,3,15));0.2993;257.4345;-0.3219;310.321;0.8846
7;303453;list('adj',''), list('red',c(1,1300,1)), list('snv',''), list('sder',c(1, 2, 5));0.2363;265.1632;0.0818;251.2855;1.0615
8;806634;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('detr','3'), list('sder',c(2,4,31));0.2153;271.6129;0.4001;213.1567;1.3131
9;50973;list('adj',''), list('red',c(1,1300,1)), list('msc',''), list('detr','2'), list('sder',c(2,3,15));0.1677;280.8285;0.3477;216.897;1.2593
10;252156;list('adj',''), list('snv',''), list('sder',c(2,3,15));0.2678;251.8504;0.0605;310.448;1.0493
