Iteration;n_estimators;min_samples_split;min_samples_leaf;max_features;max_depth
1;100;2;4;sqrt;10.0
2;500;2;2;0.3;10.0
3;200;2;1;log2;10.0
4;300;10;1;0.3;10.0
5;500;5;1;sqrt;
6;300;10;4;0.3;20.0
7;100;2;4;0.3;10.0
8;500;5;1;0.3;
9;500;5;2;0.3;10.0
10;300;10;4;sqrt;
11;200;10;1;0.3;20.0
12;100;10;1;log2;10.0
13;300;2;2;log2;20.0
14;500;2;1;sqrt;10.0
15;100;2;2;sqrt;20.0
16;500;10;1;sqrt;20.0
17;500;2;2;log2;10.0
18;300;10;2;sqrt;20.0
19;500;5;4;log2;20.0
20;200;10;1;0.3;
21;200;5;4;sqrt;
22;100;2;4;0.3;
23;200;10;2;0.3;10.0
24;200;2;1;sqrt;
25;200;2;1;0.3;20.0
26;100;2;1;0.3;10.0
27;200;5;4;log2;10.0
28;300;2;1;log2;10.0
29;100;5;4;sqrt;20.0
30;500;10;4;0.3;20.0
